,Winner,NTurns
0,B,87
1,B,75
2,C,108
3,C,114
4,B,81
5,C,162
6,B,87
7,B,165
8,C,60
9,C,138
10,C,138
11,B,81
12,B,69
13,C,180
14,C,156
15,B,93
16,B,225
17,B,141
18,B,171
19,B,81
20,B,75
21,B,111
22,B,93
23,C,162
24,B,93
25,B,69
26,C,180
27,B,129
28,B,165
29,B,165
30,B,177
31,B,81
32,B,81
33,C,534
34,B,111
35,B,99
36,B,141
37,B,69
38,B,81
39,B,105
40,B,87
41,C,138
42,C,138
43,B,123
44,C,210
45,B,135
46,B,195
47,B,93
48,C,318
49,C,120
50,C,312
51,B,123
52,C,126
53,B,207
54,C,198
55,C,132
56,B,177
57,C,108
58,B,75
59,C,126
60,C,66
61,C,114
62,B,195
63,C,234
64,D,601
65,C,252
66,C,114
67,B,135
68,B,99
69,C,174
70,B,177
71,B,213
72,B,243
73,C,180
74,C,78
75,C,372
76,C,270
77,B,249
78,B,105
79,C,258
