,Winner,NTurns
0,B,57
1,B,141
2,B,141
3,B,81
4,C,120
5,B,105
6,B,213
7,B,75
8,B,81
9,B,81
10,C,162
11,B,63
12,B,141
13,B,105
14,B,141
15,B,69
16,B,63
17,B,123
18,B,99
19,C,72
20,B,81
21,B,81
22,C,144
23,B,117
24,B,93
25,B,75
26,B,63
27,B,177
28,B,87
29,B,159
30,B,105
31,B,69
32,B,81
33,B,105
34,C,84
35,B,369
36,B,123
37,B,69
38,B,87
39,C,144
40,B,117
41,C,144
42,B,261
43,B,75
44,B,123
45,C,114
46,C,222
47,B,57
48,B,123
49,B,201
50,B,189
51,C,162
52,B,105
53,B,123
54,B,81
55,B,75
56,B,135
57,B,87
58,B,201
59,B,141
60,B,99
61,C,138
62,B,111
63,B,141
64,B,69
65,D,601
66,C,90
67,B,99
68,B,75
69,B,75
70,C,186
71,B,69
72,B,81
73,B,81
74,B,111
75,C,528
76,B,201
77,B,81
78,C,96
79,B,57
