,Winner,NTurns
0,B,99
1,B,129
2,B,99
3,B,69
4,B,87
5,B,231
6,B,87
7,B,75
8,B,129
9,C,174
10,B,81
11,B,99
12,B,99
13,B,171
14,C,132
15,B,105
16,B,93
17,C,336
18,B,171
19,B,69
20,B,69
21,B,117
22,B,63
23,B,81
24,B,237
25,B,93
26,B,357
27,B,177
28,B,69
29,B,135
30,B,135
31,B,225
32,B,99
33,B,471
34,B,81
35,B,141
36,C,234
37,B,279
38,B,69
39,B,93
40,B,417
41,B,75
42,B,333
43,B,99
44,C,150
45,C,72
46,B,321
47,C,162
48,B,93
49,B,75
50,B,87
51,B,189
52,B,99
53,B,81
54,B,201
55,B,183
56,C,162
57,B,99
58,C,144
59,C,402
60,C,240
61,B,123
62,B,177
63,B,147
64,B,63
65,C,132
66,B,105
67,C,432
68,B,411
69,C,324
70,B,135
71,C,582
72,B,255
73,B,117
74,C,582
75,B,141
76,B,321
77,B,105
78,B,495
79,C,234
