,Winner,NTurns
0,B,159
1,B,69
2,B,81
3,B,75
4,B,147
5,B,81
6,B,63
7,B,93
8,B,57
9,B,81
10,B,81
11,B,75
12,D,601
13,B,105
14,B,63
15,B,63
16,B,99
17,B,63
18,B,141
19,B,69
20,B,165
21,B,63
22,D,601
23,B,117
24,B,93
25,B,81
26,B,63
27,B,75
28,B,111
29,B,75
30,B,57
31,B,57
32,B,75
33,B,75
34,B,63
35,B,87
36,B,81
37,D,601
38,B,81
39,B,63
40,B,57
41,B,159
42,D,601
43,B,63
44,B,171
45,B,129
46,B,63
47,B,75
48,B,87
49,B,75
50,B,93
51,B,69
52,B,63
53,B,81
54,D,601
55,B,69
56,B,87
57,B,69
58,B,105
59,B,81
60,D,601
61,B,69
62,B,141
63,D,601
64,B,453
65,B,111
66,B,81
67,B,63
68,B,69
69,B,69
70,B,93
71,B,81
72,B,135
73,B,57
74,D,601
75,B,435
76,B,63
77,B,111
78,B,141
79,B,63
