,Winner,NTurns
0,B,105
1,B,129
2,B,69
3,B,117
4,B,87
5,B,87
6,B,51
7,B,87
8,B,69
9,B,81
10,B,81
11,B,51
12,B,93
13,B,87
14,B,93
15,C,342
16,B,99
17,B,117
18,B,99
19,B,105
20,B,189
21,B,93
22,B,111
23,B,81
24,B,75
25,B,165
26,B,99
27,B,93
28,B,111
29,B,63
30,B,51
31,B,75
32,B,57
33,B,315
34,B,63
35,D,601
36,B,75
37,B,105
38,B,69
39,B,75
40,D,601
41,B,123
42,C,156
43,B,219
44,B,189
45,B,69
46,B,69
47,B,171
48,B,123
49,B,189
50,D,601
51,B,69
52,B,93
53,B,177
54,B,75
55,D,601
56,B,123
57,B,69
58,B,387
59,B,81
60,D,601
61,C,168
62,B,123
63,C,156
64,B,111
65,D,601
66,B,93
67,B,69
68,B,93
69,D,601
70,B,99
71,B,219
72,B,39
73,B,69
74,B,489
75,B,207
76,B,93
77,B,321
78,B,93
79,B,363
