,Winner,NTurns
0,B,69
1,B,111
2,C,426
3,B,111
4,B,63
5,B,105
6,B,93
7,B,129
8,C,150
9,B,99
10,B,81
11,B,129
12,B,141
13,B,75
14,B,93
15,B,105
16,B,147
17,B,165
18,B,219
19,B,267
20,B,201
21,B,111
22,C,312
23,B,117
24,B,171
25,C,144
26,C,492
27,B,141
28,B,75
29,B,87
30,B,159
31,B,93
32,B,99
33,D,601
34,B,147
35,B,117
36,B,75
37,B,201
38,B,69
39,B,135
40,B,69
41,B,93
42,B,159
43,B,63
44,B,87
45,B,135
46,B,105
47,D,601
48,B,105
49,B,183
50,B,129
51,B,99
52,B,105
53,B,171
54,B,69
55,B,87
56,C,480
57,B,93
58,B,81
59,D,601
60,B,237
61,C,138
62,B,327
63,C,96
64,B,117
65,B,87
66,B,69
67,B,69
68,D,601
69,C,462
70,B,93
71,C,360
72,B,123
73,D,601
74,B,243
75,B,201
76,B,159
77,C,114
78,B,93
79,B,63
