,Winner,NTurns
0,B,81
1,C,78
2,C,90
3,C,120
4,C,102
5,C,72
6,C,90
7,C,270
8,C,60
9,C,72
10,C,126
11,B,57
12,B,69
13,B,105
14,B,135
15,C,198
16,C,144
17,C,78
18,C,96
19,B,81
20,C,282
21,C,126
22,C,84
23,B,213
24,C,162
25,C,96
26,C,84
27,C,102
28,C,90
29,C,114
30,C,108
31,B,75
32,C,72
33,B,183
34,C,102
35,C,150
36,C,78
37,C,108
38,B,111
39,C,288
40,C,114
41,B,81
42,D,601
43,B,201
44,B,57
45,C,90
46,C,66
47,C,102
48,C,108
49,C,96
50,B,99
51,C,210
52,B,57
53,B,93
54,C,120
55,C,258
56,B,231
57,C,78
58,C,138
59,C,72
60,C,96
61,C,96
62,B,207
63,C,66
64,C,90
65,C,138
66,B,87
67,B,471
68,B,465
69,C,126
70,C,96
71,C,294
72,C,552
73,C,66
74,B,57
75,C,192
76,B,69
77,C,150
78,B,129
79,B,477
