,Winner,NTurns
0,B,81
1,B,81
2,B,75
3,B,63
4,B,87
5,B,69
6,B,63
7,C,120
8,B,105
9,B,99
10,B,75
11,C,84
12,C,144
13,B,63
14,B,57
15,B,45
16,C,150
17,C,66
18,B,165
19,C,84
20,C,96
21,C,138
22,B,57
23,B,69
24,C,216
25,B,255
26,B,63
27,C,78
28,B,99
29,B,87
30,C,60
31,B,147
32,C,84
33,B,141
34,B,63
35,C,114
36,C,96
37,D,601
38,B,87
39,B,87
40,B,45
41,B,147
42,D,601
43,B,57
44,B,81
45,B,99
46,B,75
47,B,93
48,B,87
49,B,105
50,C,48
51,B,45
52,B,111
53,D,601
54,C,78
55,C,234
56,B,81
57,B,63
58,B,51
59,B,279
60,B,75
61,C,240
62,C,102
63,B,69
64,B,81
65,D,601
66,B,75
67,C,72
68,B,81
69,B,63
70,C,126
71,B,177
72,B,87
73,D,601
74,C,78
75,B,57
76,B,201
77,B,81
78,B,57
79,C,294
