,Winner,NTurns
0,B,75
1,B,75
2,C,72
3,B,93
4,B,75
5,B,69
6,C,240
7,B,75
8,B,51
9,B,81
10,B,33
11,C,108
12,C,96
13,C,348
14,B,69
15,B,297
16,B,93
17,B,117
18,B,75
19,B,81
20,D,601
21,B,141
22,C,138
23,B,51
24,B,69
25,B,123
26,B,51
27,D,601
28,B,63
29,B,75
30,B,177
31,B,105
32,C,114
33,B,75
34,B,75
35,D,601
36,B,111
37,B,75
38,B,87
39,B,165
40,C,516
41,B,99
42,B,69
43,B,87
44,C,132
45,B,63
46,B,39
47,D,601
48,B,189
49,B,57
50,B,81
51,B,249
52,C,144
53,B,57
54,B,117
55,B,171
56,D,601
57,B,75
58,C,132
59,B,75
60,B,57
61,D,601
62,B,57
63,B,51
64,D,601
65,B,129
66,B,69
67,B,33
68,D,601
69,B,165
70,B,267
71,B,69
72,B,69
73,D,601
74,B,75
75,C,72
76,B,63
77,B,87
78,C,582
79,C,426
