,Winner,NTurns
0,B,63
1,D,601
2,B,57
3,B,75
4,B,51
5,B,69
6,B,57
7,B,93
8,B,63
9,B,105
10,B,69
11,B,45
12,B,111
13,B,69
14,B,45
15,B,69
16,B,57
17,B,81
18,B,69
19,D,601
20,B,105
21,B,69
22,B,75
23,B,51
24,B,57
25,B,57
26,B,57
27,B,105
28,B,111
29,D,601
30,B,57
31,B,51
32,B,51
33,B,45
34,C,156
35,B,99
36,D,601
37,B,69
38,B,81
39,B,183
40,B,57
41,D,601
42,B,51
43,B,51
44,B,69
45,D,601
46,B,75
47,B,57
48,B,57
49,B,57
50,B,63
51,B,63
52,B,111
53,B,45
54,C,276
55,B,69
56,D,601
57,B,57
58,B,45
59,B,153
60,D,601
61,B,81
62,B,69
63,D,601
64,B,45
65,B,63
66,B,57
67,D,601
68,B,51
69,B,51
70,B,57
71,B,45
72,B,171
73,B,45
74,C,342
75,D,601
76,B,63
77,B,33
78,D,601
79,B,45
