,Winner,NTurns
0,B,159
1,B,69
2,B,45
3,C,78
4,C,96
5,B,99
6,C,102
7,C,150
8,C,54
9,C,594
10,B,177
11,B,63
12,C,48
13,D,601
14,B,57
15,B,69
16,B,51
17,B,45
18,B,111
19,B,63
20,C,66
21,C,54
22,B,63
23,C,42
24,B,69
25,B,87
26,B,141
27,D,601
28,B,63
29,C,60
30,B,57
31,B,51
32,B,63
33,B,81
34,D,601
35,B,321
36,B,69
37,B,51
38,B,75
39,B,111
40,C,72
41,B,51
42,B,81
43,B,57
44,B,135
45,B,57
46,B,87
47,C,282
48,D,601
49,B,141
50,C,42
51,D,601
52,B,75
53,B,477
54,B,57
55,C,162
56,C,72
57,B,249
58,C,78
59,C,174
60,C,60
61,B,81
62,B,357
63,D,601
64,B,105
65,B,99
66,B,417
67,B,183
68,C,90
69,B,51
70,D,601
71,D,601
72,B,63
73,B,75
74,B,51
75,C,534
76,B,75
77,B,63
78,B,585
79,B,69
