,Winner,NTurns
0,C,216
1,B,267
2,C,72
3,C,84
4,C,102
5,C,108
6,B,99
7,D,601
8,C,120
9,B,213
10,C,108
11,B,117
12,D,601
13,C,114
14,C,252
15,B,111
16,C,138
17,B,393
18,C,84
19,C,150
20,C,102
21,C,144
22,B,129
23,C,78
24,C,96
25,B,201
26,C,78
27,B,105
28,D,601
29,D,601
30,C,216
31,C,174
32,C,78
33,C,564
34,C,252
35,C,78
36,C,150
37,C,72
38,C,132
39,B,99
40,D,601
41,B,99
42,C,168
43,B,183
44,C,96
45,B,69
46,C,96
47,B,255
48,C,114
49,C,480
50,C,114
51,C,96
52,B,597
53,C,120
54,C,120
55,B,123
56,C,90
57,D,601
58,C,300
59,C,84
60,C,300
61,B,189
62,B,57
63,D,601
64,C,126
65,D,601
66,B,213
67,B,87
68,B,111
69,C,540
70,C,78
71,C,276
72,C,90
73,B,507
74,C,186
75,D,601
76,C,108
77,B,117
78,D,601
79,B,195
