,Winner,NTurns
0,B,405
1,D,601
2,C,42
3,B,63
4,C,144
5,B,93
6,C,72
7,C,84
8,B,81
9,C,186
10,C,78
11,B,111
12,B,411
13,B,129
14,C,408
15,B,129
16,B,69
17,B,309
18,C,66
19,B,69
20,B,51
21,C,390
22,B,51
23,B,75
24,B,69
25,B,123
26,B,465
27,D,601
28,C,72
29,B,189
30,B,75
31,B,567
32,B,69
33,C,54
34,D,601
35,B,105
36,D,601
37,B,213
38,B,165
39,B,87
40,C,180
41,C,180
42,B,87
43,B,99
44,D,601
45,C,420
46,D,601
47,B,69
48,B,99
49,B,291
50,B,285
51,B,69
52,C,108
53,C,168
54,D,601
55,B,141
56,B,75
57,D,601
58,B,171
59,B,555
60,B,129
61,D,601
62,C,78
63,B,57
64,D,601
65,D,601
66,B,81
67,C,78
68,D,601
69,B,99
70,D,601
71,C,90
72,C,414
73,C,78
74,B,75
75,D,601
76,B,75
77,B,105
78,B,579
79,D,601
