,Winner,NTurns
0,D,601
1,B,111
2,B,165
3,B,111
4,B,441
5,C,276
6,B,57
7,B,51
8,B,63
9,B,237
10,C,72
11,C,402
12,B,387
13,B,81
14,B,267
15,C,114
16,D,601
17,B,75
18,B,57
19,C,84
20,C,102
21,D,601
22,C,126
23,B,63
24,B,165
25,D,601
26,C,66
27,D,601
28,C,78
29,C,90
30,C,480
31,B,411
32,D,601
33,D,601
34,B,63
35,D,601
36,B,111
37,C,126
38,B,69
39,B,87
40,D,601
41,D,601
42,B,105
43,B,75
44,B,75
45,C,318
46,C,84
47,D,601
48,B,387
49,B,243
50,D,601
51,B,93
52,C,318
53,B,219
54,D,601
55,B,63
56,D,601
57,B,75
58,B,111
59,D,601
60,B,249
61,C,204
62,C,120
63,C,114
64,D,601
65,B,351
66,D,601
67,D,601
68,B,93
69,D,601
70,D,601
71,C,102
72,D,601
73,B,93
74,C,72
75,D,601
76,D,601
77,B,93
78,C,96
79,C,324
