,Winner,NTurns
0,B,87
1,D,601
2,B,45
3,B,51
4,D,601
5,B,45
6,D,601
7,B,141
8,D,601
9,D,601
10,B,501
11,B,387
12,B,117
13,B,75
14,D,601
15,B,45
16,B,51
17,B,141
18,D,601
19,D,601
20,B,225
21,B,567
22,B,81
23,B,57
24,D,601
25,D,601
26,C,330
27,B,111
28,D,601
29,D,601
30,B,75
31,B,159
32,B,189
33,D,601
34,B,453
35,D,601
36,D,601
37,D,601
38,B,63
39,B,81
40,D,601
41,B,87
42,B,543
43,D,601
44,D,601
45,B,237
46,B,63
47,D,601
48,B,93
49,D,601
50,B,57
51,D,601
52,D,601
53,D,601
54,B,45
55,B,153
56,D,601
57,B,93
58,D,601
59,D,601
60,B,441
61,B,69
62,D,601
63,B,45
64,B,63
65,C,492
66,C,480
67,D,601
68,B,387
69,D,601
70,D,601
71,B,51
72,B,63
73,D,601
74,D,601
75,D,601
76,D,601
77,B,105
78,C,582
79,D,601
