,Winner,NTurns
0,D,601
1,D,601
2,D,601
3,B,411
4,B,63
5,D,601
6,D,601
7,D,601
8,B,69
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,D,601
15,D,601
16,B,543
17,B,147
18,D,601
19,C,186
20,D,601
21,D,601
22,D,601
23,D,601
24,B,441
25,B,369
26,D,601
27,C,276
28,D,601
29,D,601
30,D,601
31,B,75
32,D,601
33,B,165
34,D,601
35,D,601
36,D,601
37,D,601
38,D,601
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,D,601
45,B,339
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,C,540
52,D,601
53,D,601
54,B,213
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,B,429
76,D,601
77,D,601
78,D,601
79,D,601
