,Winner,NTurns
0,C,66
1,C,66
2,C,84
3,C,84
4,C,90
5,C,90
6,C,108
7,C,72
8,C,72
9,C,138
10,C,66
11,C,60
12,C,138
13,D,601
14,C,84
15,C,84
16,C,90
17,C,66
18,C,150
19,C,162
20,C,60
21,C,84
22,C,66
23,C,102
24,C,60
25,D,601
26,C,96
27,D,601
28,C,66
29,C,66
30,C,84
31,C,54
32,C,78
33,D,601
34,C,66
35,C,132
36,C,90
37,C,72
38,C,90
39,C,66
40,D,601
41,C,60
42,C,102
43,C,450
44,C,174
45,C,60
46,C,66
47,C,126
48,C,90
49,C,84
50,C,78
51,C,66
52,C,144
53,C,114
54,C,66
55,C,72
56,D,601
57,D,601
58,C,96
59,D,601
60,C,84
61,D,601
62,C,60
63,D,601
64,C,60
65,D,601
66,C,96
67,C,66
68,C,60
69,C,90
70,C,66
71,D,601
72,C,96
73,D,601
74,C,72
75,C,336
76,C,102
77,C,186
78,D,601
79,C,72
