,Winner,NTurns
0,B,99
1,C,84
2,C,66
3,C,108
4,B,141
5,C,378
6,C,126
7,D,601
8,B,135
9,B,51
10,D,601
11,B,213
12,B,147
13,B,63
14,B,57
15,D,601
16,B,63
17,C,270
18,B,87
19,B,75
20,B,75
21,C,174
22,B,93
23,D,601
24,B,213
25,C,192
26,C,66
27,B,231
28,C,114
29,C,462
30,C,96
31,D,601
32,C,48
33,B,75
34,C,108
35,B,57
36,C,390
37,C,564
38,D,601
39,B,159
40,C,252
41,C,264
42,C,492
43,D,601
44,C,210
45,C,108
46,C,78
47,B,93
48,D,601
49,D,601
50,B,237
51,B,93
52,B,315
53,C,138
54,B,495
55,C,270
56,B,135
57,D,601
58,D,601
59,B,459
60,B,339
61,C,210
62,B,87
63,C,330
64,D,601
65,C,336
66,D,601
67,B,273
68,D,601
69,C,138
70,D,601
71,D,601
72,D,601
73,C,492
74,D,601
75,D,601
76,D,601
77,D,601
78,C,144
79,D,601
