,Winner,NTurns
0,D,601
1,B,93
2,D,601
3,B,147
4,D,601
5,B,57
6,D,601
7,B,51
8,B,81
9,B,45
10,B,81
11,C,132
12,B,45
13,B,51
14,D,601
15,B,81
16,B,69
17,D,601
18,B,129
19,D,601
20,B,63
21,B,39
22,D,601
23,B,135
24,B,57
25,D,601
26,D,601
27,B,189
28,B,57
29,B,57
30,B,51
31,D,601
32,B,75
33,D,601
34,B,141
35,D,601
36,B,57
37,B,81
38,B,51
39,B,87
40,B,69
41,D,601
42,B,477
43,B,87
44,D,601
45,B,105
46,B,159
47,B,63
48,B,63
49,B,117
50,D,601
51,B,69
52,D,601
53,C,216
54,D,601
55,B,81
56,B,147
57,C,444
58,B,111
59,B,375
60,B,543
61,B,81
62,B,75
63,D,601
64,D,601
65,B,111
66,B,387
67,B,51
68,B,147
69,D,601
70,D,601
71,D,601
72,B,381
73,B,129
74,D,601
75,C,102
76,B,129
77,D,601
78,D,601
79,D,601
