,Winner,NTurns
0,D,601
1,D,601
2,B,117
3,D,601
4,D,601
5,D,601
6,D,601
7,D,601
8,D,601
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,D,601
15,D,601
16,B,159
17,B,405
18,D,601
19,B,105
20,D,601
21,D,601
22,B,147
23,B,207
24,D,601
25,D,601
26,B,363
27,D,601
28,D,601
29,D,601
30,B,69
31,B,51
32,D,601
33,D,601
34,D,601
35,D,601
36,D,601
37,D,601
38,D,601
39,B,99
40,B,69
41,D,601
42,D,601
43,D,601
44,B,69
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,B,51
51,D,601
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,B,315
59,B,81
60,D,601
61,B,429
62,D,601
63,B,51
64,D,601
65,D,601
66,D,601
67,D,601
68,B,549
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,B,99
77,D,601
78,D,601
79,D,601
