,Winner,NTurns
0,C,72
1,C,66
2,C,126
3,C,96
4,C,66
5,C,72
6,C,78
7,B,591
8,C,60
9,C,96
10,C,72
11,C,126
12,C,102
13,C,60
14,C,126
15,C,72
16,C,78
17,D,601
18,C,66
19,D,601
20,C,102
21,C,108
22,C,78
23,D,601
24,C,54
25,C,108
26,C,78
27,C,102
28,C,72
29,D,601
30,C,210
31,C,144
32,C,114
33,C,72
34,C,216
35,C,66
36,D,601
37,C,102
38,C,78
39,C,90
40,C,78
41,C,96
42,D,601
43,C,60
44,C,120
45,C,96
46,C,96
47,D,601
48,C,84
49,C,96
50,C,84
51,C,420
52,D,601
53,C,462
54,C,126
55,C,66
56,C,72
57,C,66
58,C,102
59,D,601
60,C,90
61,C,78
62,D,601
63,C,60
64,D,601
65,C,72
66,D,601
67,C,150
68,C,96
69,D,601
70,C,72
71,D,601
72,C,150
73,C,78
74,D,601
75,D,601
76,D,601
77,C,72
78,C,354
79,C,144
