,Winner,NTurns
0,B,177
1,C,162
2,C,102
3,B,111
4,B,171
5,C,42
6,B,129
7,B,375
8,B,81
9,B,57
10,C,72
11,B,51
12,D,601
13,B,93
14,D,601
15,C,72
16,C,54
17,C,90
18,C,72
19,C,90
20,C,90
21,D,601
22,B,93
23,C,60
24,C,246
25,D,601
26,B,87
27,C,72
28,B,81
29,C,72
30,B,81
31,D,601
32,C,102
33,B,207
34,B,93
35,B,267
36,D,601
37,B,297
38,C,240
39,B,51
40,D,601
41,C,132
42,D,601
43,B,57
44,B,201
45,D,601
46,D,601
47,B,75
48,D,601
49,C,84
50,B,135
51,D,601
52,C,186
53,B,81
54,D,601
55,B,63
56,C,54
57,C,120
58,D,601
59,D,601
60,D,601
61,C,246
62,D,601
63,C,84
64,C,120
65,B,105
66,C,582
67,C,564
68,C,444
69,B,69
70,C,90
71,C,306
72,D,601
73,C,66
74,D,601
75,C,72
76,D,601
77,D,601
78,B,57
79,D,601
