,Winner,NTurns
0,B,195
1,B,63
2,B,111
3,C,498
4,D,601
5,B,123
6,D,601
7,B,123
8,B,75
9,D,601
10,B,93
11,D,601
12,C,120
13,D,601
14,B,57
15,C,78
16,D,601
17,D,601
18,B,213
19,B,105
20,B,105
21,B,207
22,D,601
23,D,601
24,D,601
25,B,177
26,C,138
27,D,601
28,C,126
29,B,45
30,B,153
31,D,601
32,C,396
33,D,601
34,D,601
35,C,108
36,B,39
37,D,601
38,D,601
39,B,243
40,B,81
41,D,601
42,D,601
43,D,601
44,B,69
45,B,75
46,B,81
47,D,601
48,B,339
49,D,601
50,B,57
51,D,601
52,B,291
53,D,601
54,B,117
55,D,601
56,D,601
57,B,45
58,C,384
59,D,601
60,D,601
61,D,601
62,C,216
63,B,75
64,D,601
65,D,601
66,C,84
67,B,93
68,D,601
69,D,601
70,D,601
71,C,120
72,D,601
73,D,601
74,B,63
75,B,69
76,B,363
77,D,601
78,D,601
79,C,174
