,Winner,NTurns
0,B,51
1,C,72
2,D,601
3,B,63
4,D,601
5,B,69
6,B,51
7,B,99
8,B,51
9,B,63
10,B,69
11,B,81
12,C,198
13,B,375
14,B,57
15,B,51
16,B,51
17,C,444
18,B,75
19,D,601
20,C,78
21,D,601
22,D,601
23,B,69
24,B,69
25,B,57
26,C,126
27,B,213
28,D,601
29,B,69
30,C,126
31,B,51
32,D,601
33,B,69
34,D,601
35,D,601
36,B,93
37,D,601
38,D,601
39,B,69
40,B,297
41,D,601
42,C,216
43,B,45
44,D,601
45,D,601
46,D,601
47,D,601
48,B,105
49,C,66
50,B,51
51,D,601
52,B,63
53,D,601
54,D,601
55,B,45
56,C,102
57,D,601
58,D,601
59,D,601
60,B,339
61,D,601
62,B,357
63,B,75
64,D,601
65,D,601
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,B,153
75,B,69
76,D,601
77,D,601
78,D,601
79,D,601
