,Winner,NTurns
0,B,123
1,B,171
2,B,57
3,C,84
4,B,75
5,B,57
6,B,117
7,B,99
8,B,105
9,B,63
10,D,601
11,D,601
12,B,51
13,B,69
14,B,99
15,B,63
16,B,81
17,B,69
18,B,63
19,B,51
20,D,601
21,C,78
22,B,51
23,B,135
24,D,601
25,B,69
26,B,69
27,C,114
28,B,93
29,B,195
30,C,510
31,B,75
32,D,601
33,B,105
34,B,105
35,B,153
36,C,78
37,B,69
38,B,261
39,C,84
40,B,189
41,B,63
42,D,601
43,B,105
44,B,51
45,B,75
46,C,210
47,B,99
48,B,339
49,D,601
50,B,93
51,C,354
52,B,69
53,B,81
54,C,168
55,B,81
56,B,537
57,B,285
58,D,601
59,D,601
60,D,601
61,D,601
62,B,51
63,C,240
64,C,228
65,C,234
66,D,601
67,C,96
68,B,93
69,B,63
70,B,99
71,C,510
72,D,601
73,B,135
74,B,279
75,B,57
76,B,297
77,B,69
78,D,601
79,D,601
