,Winner,NTurns
0,B,81
1,B,87
2,B,75
3,B,33
4,B,39
5,B,363
6,B,141
7,B,57
8,B,51
9,B,141
10,B,141
11,B,147
12,B,51
13,B,69
14,B,63
15,B,51
16,B,51
17,D,601
18,B,93
19,B,75
20,D,601
21,B,249
22,B,57
23,B,57
24,B,57
25,B,51
26,B,57
27,B,99
28,B,51
29,B,75
30,B,75
31,D,601
32,B,45
33,B,57
34,B,309
35,B,75
36,B,45
37,B,51
38,B,69
39,B,51
40,B,267
41,B,45
42,B,57
43,B,57
44,B,87
45,D,601
46,C,270
47,B,159
48,B,81
49,B,51
50,B,117
51,B,141
52,D,601
53,B,57
54,C,510
55,B,63
56,B,159
57,D,601
58,B,57
59,B,177
60,B,51
61,B,129
62,B,45
63,B,69
64,C,582
65,B,597
66,D,601
67,B,45
68,B,51
69,B,51
70,B,147
71,B,177
72,D,601
73,C,486
74,B,123
75,D,601
76,B,363
77,B,75
78,D,601
79,B,75
