,Winner,NTurns
0,B,93
1,B,39
2,C,168
3,B,39
4,C,90
5,C,60
6,B,63
7,B,141
8,B,57
9,C,60
10,C,72
11,C,210
12,B,69
13,B,105
14,B,57
15,B,417
16,C,150
17,B,45
18,B,75
19,B,93
20,D,601
21,B,69
22,B,63
23,B,117
24,B,105
25,C,234
26,C,60
27,C,210
28,C,66
29,C,84
30,B,57
31,C,72
32,B,63
33,B,105
34,C,60
35,B,45
36,C,120
37,D,601
38,B,147
39,B,111
40,B,69
41,B,105
42,D,601
43,B,63
44,C,132
45,B,123
46,B,75
47,C,408
48,B,87
49,B,57
50,C,48
51,B,99
52,C,66
53,B,495
54,B,441
55,B,105
56,D,601
57,B,123
58,C,252
59,B,45
60,D,601
61,B,327
62,D,601
63,B,63
64,B,111
65,B,57
66,C,78
67,B,57
68,B,75
69,B,93
70,D,601
71,D,601
72,B,45
73,C,360
74,B,63
75,B,111
76,B,483
77,B,111
78,B,267
79,B,105
