,Winner,NTurns
0,D,601
1,D,601
2,D,601
3,C,65
4,C,215
5,D,601
6,D,601
7,D,601
8,D,601
9,C,77
10,D,601
11,D,601
12,C,107
13,D,601
14,D,601
15,D,601
16,D,601
17,C,203
18,D,601
19,D,601
20,D,601
21,D,601
22,C,173
23,D,601
24,D,601
25,C,251
26,D,601
27,D,601
28,D,601
29,D,601
30,C,299
31,D,601
32,D,601
33,D,601
34,D,601
35,D,601
36,D,601
37,D,601
38,D,601
39,D,601
40,D,601
41,B,290
42,C,239
43,C,341
44,D,601
45,D,601
46,D,601
47,D,601
48,C,65
49,D,601
50,C,419
51,C,83
52,D,601
53,D,601
54,D,601
55,C,77
56,D,601
57,D,601
58,D,601
59,D,601
60,C,221
61,C,365
62,C,59
63,D,601
64,D,601
65,D,601
66,C,77
67,D,601
68,D,601
69,D,601
70,C,341
71,D,601
72,B,98
73,D,601
74,B,56
75,B,332
76,D,601
77,D,601
78,C,95
79,D,601
80,D,601
81,C,59
82,D,601
83,C,569
84,D,601
85,D,601
86,D,601
87,B,50
88,C,71
89,D,601
90,D,601
91,D,601
92,C,197
93,D,601
94,D,601
95,D,601
96,D,601
97,D,601
98,D,601
99,D,601
100,C,347
101,D,601
102,D,601
103,D,601
