,Winner,NTurns
0,B,195
1,C,84
2,C,84
3,C,144
4,B,75
5,B,111
6,C,102
7,C,198
8,B,57
9,B,81
10,C,150
11,B,117
12,B,123
13,B,81
14,B,135
15,B,147
16,C,216
17,C,150
18,C,120
19,B,87
20,B,183
21,B,147
22,B,201
23,B,195
24,B,123
25,C,138
26,B,147
27,B,87
28,C,120
29,C,102
30,C,192
31,B,141
32,B,153
33,B,123
34,C,108
35,C,162
36,B,405
37,B,339
38,B,87
39,B,453
40,B,285
41,B,81
42,C,174
43,B,129
44,B,177
45,B,237
46,C,78
47,B,183
48,B,213
49,C,354
50,B,321
51,C,96
52,B,123
53,B,99
54,B,87
55,B,399
56,C,126
57,B,567
58,C,90
59,D,601
60,B,141
61,C,222
62,C,546
63,B,105
64,B,87
65,C,132
66,D,601
67,B,69
68,B,363
69,C,204
70,B,57
71,B,327
72,D,601
73,B,105
74,B,495
75,B,333
76,C,192
77,B,135
78,C,222
79,B,93
