,Winner,NTurns
0,B,123
1,B,123
2,C,144
3,B,57
4,B,81
5,C,150
6,B,225
7,B,63
8,B,291
9,B,147
10,B,255
11,B,81
12,B,183
13,B,81
14,B,105
15,B,75
16,C,324
17,B,117
18,B,159
19,B,117
20,B,219
21,B,111
22,B,117
23,B,141
24,B,87
25,B,123
26,B,135
27,D,601
28,B,117
29,B,87
30,C,150
31,B,117
32,C,102
33,B,135
34,B,183
35,B,87
36,B,111
37,B,567
38,B,111
39,B,111
40,B,213
41,B,87
42,B,183
43,B,225
44,B,243
45,B,345
46,B,303
47,C,126
48,B,123
49,B,189
50,B,297
51,B,93
52,B,309
53,B,99
54,B,531
55,B,183
56,B,267
57,C,78
58,B,93
59,B,57
60,B,135
61,D,601
62,B,267
63,B,81
64,B,195
65,D,601
66,B,129
67,B,111
68,B,483
69,B,213
70,B,93
71,C,120
72,C,414
73,C,72
74,B,93
75,B,69
76,B,351
77,C,264
78,B,549
79,C,354
