,Winner,NTurns
0,B,123
1,B,93
2,B,105
3,B,129
4,B,237
5,B,111
6,B,129
7,D,601
8,B,57
9,B,153
10,B,57
11,B,201
12,C,486
13,B,111
14,C,108
15,B,147
16,B,111
17,D,601
18,B,99
19,C,132
20,B,345
21,B,111
22,B,123
23,B,105
24,D,601
25,B,87
26,B,153
27,C,132
28,C,114
29,D,601
30,B,507
31,B,99
32,B,549
33,B,93
34,B,93
35,B,141
36,B,261
37,B,141
38,B,267
39,B,237
40,D,601
41,D,601
42,B,177
43,B,87
44,C,138
45,B,75
46,B,141
47,B,87
48,D,601
49,B,177
50,D,601
51,B,87
52,B,117
53,D,601
54,C,84
55,B,87
56,B,105
57,B,141
58,B,57
59,D,601
60,B,135
61,B,189
62,C,96
63,B,237
64,D,601
65,B,117
66,B,387
67,B,225
68,B,99
69,D,601
70,B,345
71,D,601
72,C,546
73,D,601
74,D,601
75,B,285
76,B,195
77,B,153
78,B,129
79,D,601
