,Winner,NTurns
0,B,219
1,B,351
2,B,105
3,B,99
4,B,69
5,B,105
6,B,69
7,B,75
8,B,117
9,B,57
10,B,87
11,D,601
12,B,99
13,B,171
14,B,75
15,B,93
16,B,297
17,D,601
18,B,87
19,B,111
20,D,601
21,D,601
22,B,87
23,D,601
24,B,75
25,B,81
26,B,147
27,B,69
28,D,601
29,D,601
30,B,93
31,B,141
32,B,87
33,D,601
34,D,601
35,D,601
36,B,81
37,B,153
38,D,601
39,B,87
40,B,69
41,B,63
42,D,601
43,B,75
44,B,105
45,B,99
46,B,135
47,B,81
48,B,513
49,B,507
50,B,87
51,D,601
52,B,105
53,D,601
54,B,165
55,B,75
56,B,69
57,B,81
58,B,105
59,B,81
60,B,81
61,D,601
62,B,63
63,B,87
64,B,105
65,D,601
66,B,363
67,D,601
68,B,75
69,B,117
70,D,601
71,B,81
72,D,601
73,D,601
74,B,159
75,B,93
76,B,219
77,B,183
78,B,267
79,D,601
