,Winner,NTurns
0,B,123
1,B,117
2,B,87
3,B,87
4,B,87
5,B,99
6,B,123
7,B,105
8,B,141
9,B,441
10,B,141
11,B,153
12,D,601
13,B,99
14,B,57
15,B,81
16,B,375
17,D,601
18,B,105
19,C,174
20,B,369
21,C,138
22,D,601
23,B,93
24,C,402
25,B,153
26,B,429
27,B,105
28,C,276
29,B,87
30,B,159
31,B,75
32,B,201
33,B,123
34,C,318
35,C,498
36,B,75
37,D,601
38,C,486
39,B,75
40,D,601
41,B,111
42,B,153
43,B,75
44,D,601
45,B,99
46,D,601
47,B,285
48,B,63
49,B,165
50,B,63
51,D,601
52,C,252
53,B,333
54,B,153
55,B,117
56,B,75
57,D,601
58,B,57
59,B,471
60,C,84
61,C,90
62,C,600
63,D,601
64,D,601
65,B,75
66,B,75
67,B,123
68,B,111
69,D,601
70,D,601
71,B,75
72,D,601
73,D,601
74,D,601
75,B,93
76,D,601
77,D,601
78,D,601
79,C,300
