,Winner,NTurns
0,C,486
1,C,96
2,B,231
3,C,78
4,C,138
5,C,108
6,B,261
7,C,78
8,C,102
9,C,276
10,C,72
11,C,72
12,B,69
13,C,336
14,C,228
15,B,243
16,B,117
17,C,132
18,B,123
19,C,90
20,C,78
21,C,198
22,C,156
23,C,72
24,C,126
25,C,108
26,C,396
27,C,114
28,B,105
29,C,66
30,C,120
31,B,105
32,C,144
33,C,456
34,C,132
35,C,120
36,C,246
37,C,78
38,C,402
39,C,210
40,C,216
41,B,495
42,C,282
43,C,96
44,C,162
45,B,159
46,C,108
47,C,186
48,C,90
49,C,474
50,B,249
51,C,366
52,C,288
53,B,75
54,B,111
55,B,225
56,D,601
57,C,90
58,C,444
59,C,78
60,C,120
61,B,171
62,B,111
63,C,66
64,D,601
65,B,135
66,C,402
67,B,447
68,C,126
69,D,601
70,C,288
71,D,601
72,C,336
73,C,84
74,C,90
75,C,72
76,C,468
77,D,601
78,D,601
79,B,93
