,Winner,NTurns
0,B,63
1,C,60
2,B,129
3,B,75
4,B,63
5,C,78
6,B,153
7,B,153
8,B,99
9,B,111
10,B,219
11,C,90
12,B,63
13,B,33
14,B,273
15,C,78
16,B,81
17,B,81
18,B,123
19,C,138
20,C,84
21,B,105
22,B,219
23,B,93
24,C,84
25,C,66
26,B,87
27,D,601
28,B,75
29,D,601
30,C,126
31,B,165
32,B,99
33,B,69
34,D,601
35,D,601
36,B,75
37,B,69
38,B,141
39,B,105
40,B,39
41,B,387
42,B,129
43,B,537
44,D,601
45,C,342
46,B,129
47,D,601
48,B,99
49,B,171
50,D,601
51,B,81
52,B,57
53,C,48
54,B,129
55,B,99
56,B,387
57,C,480
58,C,102
59,B,87
60,B,255
61,B,207
62,B,63
63,C,60
64,B,81
65,D,601
66,B,135
67,B,93
68,D,601
69,D,601
70,C,78
71,D,601
72,B,69
73,B,549
74,C,252
75,D,601
76,D,601
77,B,309
78,B,57
79,D,601
