,Winner,NTurns
0,C,210
1,D,601
2,B,51
3,C,78
4,B,153
5,C,582
6,B,171
7,B,51
8,B,33
9,B,117
10,D,601
11,D,601
12,B,75
13,B,123
14,B,75
15,B,201
16,B,63
17,B,135
18,C,282
19,B,255
20,D,601
21,B,63
22,B,87
23,C,270
24,B,57
25,B,39
26,D,601
27,B,177
28,D,601
29,B,111
30,B,111
31,B,81
32,C,504
33,C,228
34,D,601
35,B,63
36,D,601
37,B,153
38,B,75
39,B,375
40,C,78
41,C,498
42,B,435
43,B,69
44,C,450
45,B,105
46,B,123
47,B,153
48,D,601
49,D,601
50,D,601
51,D,601
52,C,114
53,B,165
54,D,601
55,C,162
56,C,132
57,B,129
58,C,84
59,B,189
60,B,51
61,C,510
62,B,87
63,B,255
64,B,363
65,D,601
66,D,601
67,B,117
68,C,552
69,B,99
70,C,438
71,D,601
72,B,177
73,B,63
74,B,453
75,D,601
76,D,601
77,C,420
78,B,111
79,D,601
