,Winner,NTurns
0,B,69
1,D,601
2,D,601
3,B,237
4,B,39
5,D,601
6,B,57
7,D,601
8,D,601
9,B,45
10,B,87
11,B,81
12,B,57
13,B,117
14,B,105
15,D,601
16,D,601
17,D,601
18,B,93
19,D,601
20,D,601
21,B,51
22,B,105
23,B,117
24,B,75
25,B,219
26,B,87
27,B,195
28,D,601
29,D,601
30,B,573
31,B,87
32,B,39
33,B,123
34,B,57
35,D,601
36,D,601
37,D,601
38,B,207
39,B,69
40,B,99
41,D,601
42,D,601
43,B,111
44,B,57
45,D,601
46,B,39
47,D,601
48,B,45
49,B,63
50,B,63
51,B,33
52,D,601
53,B,195
54,B,51
55,B,267
56,B,45
57,D,601
58,B,69
59,D,601
60,D,601
61,C,288
62,B,45
63,B,93
64,B,63
65,D,601
66,D,601
67,B,39
68,D,601
69,D,601
70,B,129
71,D,601
72,D,601
73,D,601
74,B,135
75,B,93
76,C,84
77,D,601
78,D,601
79,D,601
