,Winner,NTurns
0,D,601
1,B,255
2,B,99
3,B,87
4,B,141
5,C,480
6,B,45
7,C,60
8,D,601
9,B,171
10,B,141
11,B,285
12,B,45
13,B,69
14,B,273
15,D,601
16,B,327
17,B,333
18,B,93
19,B,207
20,B,75
21,C,66
22,B,279
23,C,168
24,B,87
25,B,435
26,C,72
27,C,162
28,D,601
29,B,243
30,C,96
31,B,69
32,B,171
33,B,153
34,B,117
35,B,81
36,D,601
37,D,601
38,B,75
39,B,153
40,C,66
41,B,69
42,B,87
43,C,450
44,B,141
45,D,601
46,B,129
47,B,297
48,B,441
49,C,90
50,B,159
51,D,601
52,B,543
53,C,66
54,B,135
55,B,291
56,D,601
57,C,390
58,B,195
59,B,183
60,B,363
61,D,601
62,B,117
63,B,81
64,D,601
65,C,66
66,C,102
67,D,601
68,C,528
69,D,601
70,C,486
71,B,81
72,C,66
73,B,267
74,B,327
75,B,477
76,C,510
77,D,601
78,B,57
79,D,601
