,Winner,NTurns
0,C,486
1,D,601
2,C,60
3,C,66
4,C,498
5,B,75
6,C,60
7,B,189
8,C,78
9,B,219
10,B,105
11,C,66
12,D,601
13,C,114
14,D,601
15,C,66
16,C,336
17,B,255
18,B,63
19,B,267
20,C,54
21,C,126
22,D,601
23,C,66
24,D,601
25,D,601
26,D,601
27,C,120
28,B,177
29,D,601
30,B,183
31,C,456
32,C,252
33,D,601
34,B,333
35,C,72
36,C,66
37,B,549
38,C,126
39,B,369
40,C,378
41,B,63
42,C,162
43,B,111
44,B,177
45,D,601
46,B,195
47,D,601
48,B,69
49,D,601
50,D,601
51,D,601
52,C,126
53,C,96
54,D,601
55,C,300
56,C,60
57,D,601
58,B,327
59,C,468
60,B,255
61,C,510
62,D,601
63,C,282
64,B,333
65,C,84
66,B,81
67,B,159
68,D,601
69,D,601
70,D,601
71,B,123
72,B,507
73,D,601
74,C,342
75,C,48
76,B,375
77,B,255
78,D,601
79,B,387
