,Winner,NTurns
0,B,99
1,B,69
2,D,601
3,B,129
4,B,261
5,C,90
6,C,600
7,B,171
8,C,60
9,C,84
10,B,57
11,C,84
12,B,69
13,D,601
14,C,252
15,B,135
16,B,309
17,B,153
18,D,601
19,C,84
20,D,601
21,C,132
22,C,132
23,D,601
24,D,601
25,B,369
26,C,156
27,D,601
28,B,261
29,D,601
30,B,231
31,B,597
32,D,601
33,D,601
34,C,144
35,B,171
36,D,601
37,C,174
38,B,327
39,D,601
40,D,601
41,C,78
42,B,489
43,D,601
44,B,291
45,D,601
46,B,129
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,C,288
58,B,399
59,D,601
60,D,601
61,D,601
62,C,276
63,D,601
64,D,601
65,C,456
66,D,601
67,D,601
68,D,601
69,C,408
70,B,261
71,D,601
72,D,601
73,C,72
74,D,601
75,B,201
76,D,601
77,D,601
78,D,601
79,D,601
