,Winner,NTurns
0,D,601
1,B,93
2,D,601
3,D,601
4,D,601
5,D,601
6,C,318
7,B,135
8,D,601
9,D,601
10,D,601
11,D,601
12,B,75
13,D,601
14,D,601
15,D,601
16,B,561
17,D,601
18,D,601
19,B,63
20,D,601
21,D,601
22,C,324
23,C,342
24,B,183
25,D,601
26,D,601
27,D,601
28,D,601
29,B,423
30,D,601
31,D,601
32,D,601
33,D,601
34,C,378
35,B,117
36,B,399
37,D,601
38,D,601
39,D,601
40,B,447
41,B,309
42,D,601
43,D,601
44,B,51
45,D,601
46,D,601
47,B,261
48,D,601
49,B,69
50,D,601
51,B,63
52,B,111
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,B,69
64,D,601
65,D,601
66,D,601
67,D,601
68,C,336
69,D,601
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,B,93
79,D,601
