,Winner,NTurns
0,B,147
1,D,601
2,D,601
3,D,601
4,B,363
5,D,601
6,B,69
7,C,108
8,B,111
9,D,601
10,B,93
11,D,601
12,D,601
13,B,141
14,D,601
15,D,601
16,D,601
17,C,108
18,D,601
19,B,75
20,D,601
21,B,75
22,D,601
23,C,102
24,D,601
25,B,111
26,C,300
27,B,93
28,B,435
29,D,601
30,B,75
31,B,495
32,C,516
33,D,601
34,C,72
35,B,417
36,C,252
37,D,601
38,C,102
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,C,132
45,B,105
46,C,318
47,B,381
48,D,601
49,D,601
50,B,591
51,C,522
52,D,601
53,D,601
54,C,108
55,D,601
56,C,60
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,B,597
63,C,186
64,D,601
65,B,255
66,D,601
67,C,564
68,C,102
69,D,601
70,D,601
71,D,601
72,D,601
73,B,99
74,D,601
75,D,601
76,C,546
77,D,601
78,B,225
79,C,444
