,Winner,NTurns
0,C,96
1,C,114
2,C,60
3,C,66
4,C,78
5,C,96
6,C,90
7,C,108
8,C,60
9,C,84
10,C,78
11,C,60
12,C,78
13,C,84
14,C,174
15,C,54
16,C,66
17,C,192
18,C,72
19,C,66
20,C,78
21,C,72
22,C,90
23,C,96
24,C,132
25,D,601
26,C,72
27,C,102
28,C,72
29,C,54
30,D,601
31,C,60
32,C,114
33,C,102
34,C,78
35,C,84
36,C,60
37,C,66
38,C,66
39,C,96
40,B,135
41,C,108
42,C,486
43,C,66
44,C,72
45,C,48
46,C,90
47,C,60
48,C,72
49,C,90
50,C,162
51,C,60
52,C,66
53,C,102
54,C,84
55,C,66
56,C,72
57,C,84
58,C,90
59,D,601
60,C,174
61,C,90
62,C,72
63,C,66
64,D,601
65,C,72
66,C,108
67,C,108
68,C,66
69,D,601
70,C,84
71,C,84
72,B,309
73,C,78
74,D,601
75,C,66
76,C,114
77,C,90
78,C,54
79,C,132
