,Winner,NTurns
0,C,150
1,C,54
2,B,99
3,C,96
4,C,90
5,C,66
6,C,84
7,C,102
8,D,601
9,C,66
10,C,48
11,C,66
12,D,601
13,C,72
14,B,177
15,C,570
16,D,601
17,C,60
18,C,156
19,C,186
20,B,81
21,C,102
22,C,216
23,C,54
24,C,228
25,C,84
26,B,75
27,C,324
28,D,601
29,D,601
30,C,174
31,D,601
32,C,222
33,C,60
34,C,66
35,C,42
36,D,601
37,C,66
38,C,132
39,C,54
40,D,601
41,C,54
42,C,48
43,C,120
44,C,120
45,D,601
46,C,162
47,C,516
48,B,141
49,C,120
50,D,601
51,D,601
52,C,54
53,C,180
54,C,474
55,C,102
56,D,601
57,B,111
58,C,162
59,C,102
60,D,601
61,D,601
62,B,327
63,C,42
64,B,111
65,C,216
66,C,204
67,D,601
68,C,60
69,D,601
70,D,601
71,C,396
72,C,72
73,D,601
74,C,300
75,B,201
76,B,123
77,D,601
78,B,141
79,D,601
