,Winner,NTurns
0,D,601
1,C,126
2,C,348
3,C,162
4,D,601
5,D,601
6,D,601
7,C,120
8,D,601
9,C,60
10,B,393
11,D,601
12,C,102
13,B,117
14,C,48
15,C,114
16,D,601
17,D,601
18,D,601
19,C,84
20,B,189
21,D,601
22,C,252
23,C,150
24,C,108
25,C,138
26,D,601
27,D,601
28,D,601
29,C,198
30,B,429
31,D,601
32,C,234
33,C,210
34,C,120
35,D,601
36,D,601
37,C,60
38,D,601
39,D,601
40,B,117
41,D,601
42,B,69
43,D,601
44,C,66
45,D,601
46,D,601
47,C,276
48,D,601
49,B,225
50,D,601
51,B,573
52,D,601
53,D,601
54,C,600
55,C,72
56,B,189
57,D,601
58,C,324
59,C,96
60,D,601
61,C,534
62,C,120
63,D,601
64,C,480
65,C,234
66,C,264
67,D,601
68,D,601
69,C,150
70,D,601
71,C,282
72,C,600
73,B,303
74,C,414
75,D,601
76,D,601
77,B,201
78,C,288
79,D,601
