,Winner,NTurns
0,B,75
1,D,601
2,C,300
3,D,601
4,D,601
5,D,601
6,D,601
7,D,601
8,C,222
9,C,66
10,B,171
11,C,84
12,B,375
13,B,135
14,B,111
15,D,601
16,B,93
17,D,601
18,B,333
19,D,601
20,D,601
21,C,102
22,D,601
23,D,601
24,D,601
25,D,601
26,B,81
27,D,601
28,D,601
29,D,601
30,D,601
31,B,117
32,D,601
33,D,601
34,D,601
35,D,601
36,C,108
37,D,601
38,B,57
39,D,601
40,D,601
41,C,72
42,B,345
43,B,147
44,D,601
45,D,601
46,C,48
47,C,348
48,D,601
49,B,123
50,C,174
51,D,601
52,D,601
53,D,601
54,D,601
55,C,78
56,D,601
57,D,601
58,B,93
59,C,96
60,D,601
61,C,540
62,D,601
63,D,601
64,D,601
65,D,601
66,B,225
67,D,601
68,B,69
69,D,601
70,D,601
71,B,93
72,C,438
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,D,601
79,C,240
