,Winner,NTurns
0,D,601
1,D,601
2,D,601
3,D,601
4,D,601
5,D,601
6,D,601
7,D,601
8,B,81
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,D,601
15,D,601
16,C,354
17,D,601
18,B,57
19,D,601
20,D,601
21,D,601
22,D,601
23,C,210
24,D,601
25,D,601
26,D,601
27,D,601
28,D,601
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,B,75
35,C,138
36,D,601
37,D,601
38,C,444
39,D,601
40,D,601
41,D,601
42,D,601
43,D,601
44,B,501
45,D,601
46,D,601
47,D,601
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,D,601
55,D,601
56,D,601
57,D,601
58,C,384
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,B,219
66,D,601
67,D,601
68,D,601
69,C,216
70,D,601
71,D,601
72,D,601
73,D,601
74,D,601
75,D,601
76,D,601
77,D,601
78,C,204
79,D,601
