,Winner,NTurns
0,C,96
1,D,601
2,C,96
3,B,381
4,D,601
5,C,366
6,C,90
7,C,48
8,C,108
9,C,78
10,C,60
11,B,171
12,D,601
13,C,60
14,C,60
15,B,201
16,D,601
17,C,48
18,D,601
19,D,601
20,C,48
21,C,264
22,D,601
23,B,129
24,D,601
25,C,114
26,D,601
27,B,327
28,D,601
29,C,102
30,C,546
31,C,336
32,D,601
33,D,601
34,D,601
35,D,601
36,B,87
37,C,66
38,C,132
39,C,156
40,D,601
41,D,601
42,C,564
43,D,601
44,B,201
45,C,600
46,C,60
47,C,90
48,C,66
49,C,282
50,D,601
51,C,540
52,D,601
53,C,600
54,C,48
55,C,510
56,D,601
57,C,72
58,B,63
59,C,396
60,C,84
61,D,601
62,D,601
63,C,114
64,D,601
65,C,582
66,D,601
67,C,84
68,D,601
69,C,60
70,D,601
71,D,601
72,C,312
73,C,66
74,C,414
75,D,601
76,D,601
77,D,601
78,D,601
79,D,601
