,Winner,NTurns
0,D,601
1,C,72
2,C,72
3,C,84
4,C,96
5,C,186
6,C,90
7,C,72
8,C,108
9,C,60
10,C,108
11,C,126
12,C,90
13,C,102
14,C,150
15,C,114
16,C,240
17,C,78
18,C,114
19,B,171
20,C,96
21,C,66
22,D,601
23,C,120
24,C,120
25,C,216
26,C,456
27,C,84
28,C,108
29,C,444
30,C,78
31,D,601
32,C,216
33,C,144
34,C,294
35,C,108
36,C,180
37,C,72
38,C,66
39,C,72
40,C,108
41,C,72
42,C,78
43,C,90
44,C,78
45,D,601
46,C,96
47,C,54
48,C,192
49,D,601
50,C,84
51,C,84
52,D,601
53,C,84
54,C,312
55,C,72
56,C,96
57,C,72
58,D,601
59,C,72
60,C,78
61,D,601
62,C,132
63,C,78
64,C,102
65,C,96
66,D,601
67,C,420
68,C,138
69,D,601
70,C,66
71,C,162
72,C,78
73,C,162
74,C,78
75,D,601
76,D,601
77,D,601
78,D,601
79,C,240
