,Winner,NTurns
0,D,601
1,B,57
2,B,63
3,C,276
4,D,601
5,C,168
6,C,54
7,D,601
8,B,117
9,D,601
10,C,66
11,D,601
12,D,601
13,C,396
14,D,601
15,B,69
16,C,60
17,C,60
18,C,366
19,C,60
20,B,129
21,B,291
22,D,601
23,D,601
24,B,285
25,C,366
26,C,66
27,D,601
28,B,279
29,B,123
30,B,99
31,D,601
32,C,72
33,C,96
34,B,597
35,D,601
36,C,66
37,C,72
38,D,601
39,D,601
40,D,601
41,B,159
42,C,108
43,D,601
44,D,601
45,B,111
46,D,601
47,C,66
48,B,63
49,D,601
50,D,601
51,D,601
52,D,601
53,C,60
54,C,234
55,B,159
56,D,601
57,D,601
58,C,132
59,D,601
60,D,601
61,D,601
62,C,84
63,D,601
64,B,93
65,D,601
66,C,150
67,D,601
68,D,601
69,C,174
70,B,93
71,D,601
72,D,601
73,C,222
74,D,601
75,B,141
76,D,601
77,D,601
78,B,117
79,B,75
