,Winner,NTurns
0,C,402
1,B,285
2,C,72
3,D,601
4,B,225
5,B,57
6,D,601
7,C,126
8,B,117
9,B,351
10,B,51
11,D,601
12,B,243
13,D,601
14,D,601
15,B,135
16,D,601
17,D,601
18,D,601
19,D,601
20,D,601
21,D,601
22,B,81
23,B,105
24,B,57
25,D,601
26,D,601
27,D,601
28,C,210
29,D,601
30,D,601
31,D,601
32,D,601
33,D,601
34,C,354
35,D,601
36,C,204
37,D,601
38,B,171
39,B,171
40,C,216
41,D,601
42,D,601
43,D,601
44,D,601
45,C,150
46,D,601
47,D,601
48,D,601
49,B,183
50,D,601
51,D,601
52,D,601
53,B,99
54,D,601
55,B,75
56,B,177
57,D,601
58,D,601
59,B,93
60,B,231
61,D,601
62,D,601
63,D,601
64,D,601
65,C,162
66,D,601
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,B,153
73,B,465
74,B,81
75,D,601
76,B,207
77,D,601
78,D,601
79,D,601
