,Winner,NTurns
0,C,126
1,C,60
2,B,87
3,D,601
4,B,123
5,B,387
6,B,201
7,D,601
8,C,168
9,D,601
10,B,69
11,B,171
12,B,153
13,D,601
14,D,601
15,B,141
16,D,601
17,D,601
18,B,183
19,B,63
20,B,219
21,C,234
22,D,601
23,D,601
24,C,138
25,D,601
26,B,177
27,D,601
28,B,387
29,C,216
30,B,45
31,B,429
32,C,228
33,D,601
34,D,601
35,C,132
36,B,147
37,D,601
38,C,156
39,D,601
40,B,159
41,B,51
42,D,601
43,C,474
44,B,75
45,B,261
46,D,601
47,D,601
48,B,243
49,D,601
50,C,210
51,B,123
52,C,222
53,D,601
54,D,601
55,D,601
56,B,75
57,B,111
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,C,84
64,C,114
65,D,601
66,B,69
67,B,81
68,B,45
69,D,601
70,C,216
71,D,601
72,C,216
73,D,601
74,C,456
75,D,601
76,C,66
77,C,192
78,D,601
79,C,210
