,Winner,NTurns
0,C,156
1,B,51
2,B,75
3,B,105
4,B,99
5,C,60
6,C,474
7,C,66
8,C,60
9,B,63
10,C,66
11,C,174
12,C,96
13,B,75
14,B,489
15,B,141
16,B,75
17,B,159
18,B,75
19,D,601
20,C,60
21,C,330
22,B,111
23,B,99
24,C,66
25,B,51
26,B,63
27,B,231
28,B,237
29,B,195
30,B,249
31,C,330
32,C,96
33,C,72
34,B,81
35,C,126
36,B,69
37,B,183
38,B,57
39,C,174
40,B,123
41,B,57
42,C,72
43,B,303
44,C,342
45,B,111
46,B,69
47,C,138
48,C,108
49,C,60
50,D,601
51,B,75
52,C,198
53,C,84
54,B,195
55,C,54
56,B,63
57,B,249
58,B,159
59,B,57
60,B,117
61,C,72
62,B,135
63,C,114
64,B,249
65,C,330
66,B,69
67,D,601
68,B,69
69,B,171
70,C,54
71,B,99
72,B,75
73,B,273
74,D,601
75,C,84
76,B,141
77,B,63
78,D,601
79,B,177
