,Winner,NTurns
0,C,90
1,D,601
2,B,171
3,C,162
4,B,75
5,B,135
6,C,102
7,B,87
8,B,171
9,B,147
10,C,60
11,C,252
12,B,309
13,B,51
14,D,601
15,B,93
16,B,117
17,B,189
18,B,69
19,B,111
20,B,117
21,C,108
22,B,147
23,B,135
24,B,117
25,C,240
26,B,147
27,B,243
28,D,601
29,B,531
30,B,57
31,B,219
32,C,114
33,B,189
34,C,438
35,B,69
36,C,528
37,B,93
38,C,306
39,C,102
40,B,69
41,B,63
42,D,601
43,B,63
44,D,601
45,C,102
46,D,601
47,B,81
48,B,75
49,B,63
50,B,63
51,C,174
52,C,462
53,C,102
54,B,93
55,B,123
56,B,63
57,D,601
58,C,96
59,D,601
60,B,69
61,C,414
62,D,601
63,B,69
64,D,601
65,B,201
66,B,117
67,B,165
68,B,87
69,B,63
70,D,601
71,B,405
72,B,219
73,B,249
74,C,168
75,B,405
76,C,330
77,D,601
78,B,477
79,B,63
