,Winner,NTurns
0,B,117
1,B,117
2,B,117
3,B,51
4,B,51
5,B,69
6,B,69
7,B,99
8,B,87
9,B,51
10,B,75
11,B,51
12,D,601
13,D,601
14,B,51
15,B,93
16,B,69
17,B,69
18,B,87
19,B,57
20,D,601
21,B,183
22,D,601
23,B,69
24,B,69
25,B,63
26,B,93
27,B,99
28,B,57
29,B,63
30,B,69
31,D,601
32,B,69
33,B,75
34,B,75
35,B,69
36,B,63
37,D,601
38,D,601
39,C,54
40,C,168
41,C,528
42,B,375
43,B,87
44,B,63
45,B,81
46,B,57
47,B,93
48,B,45
49,D,601
50,D,601
51,B,45
52,D,601
53,D,601
54,B,93
55,B,291
56,B,105
57,B,63
58,B,225
59,B,63
60,D,601
61,D,601
62,C,108
63,B,111
64,B,285
65,B,57
66,B,99
67,B,141
68,B,381
69,B,111
70,B,165
71,D,601
72,D,601
73,D,601
74,D,601
75,B,87
76,B,75
77,B,75
78,B,63
79,B,93
