,Winner,NTurns
0,D,601
1,B,69
2,D,601
3,D,601
4,B,51
5,B,57
6,D,601
7,D,601
8,B,195
9,D,601
10,D,601
11,D,601
12,D,601
13,D,601
14,D,601
15,D,601
16,C,438
17,B,63
18,D,601
19,B,57
20,D,601
21,B,213
22,D,601
23,D,601
24,D,601
25,D,601
26,D,601
27,D,601
28,D,601
29,B,87
30,D,601
31,D,601
32,D,601
33,D,601
34,B,57
35,B,69
36,D,601
37,D,601
38,D,601
39,D,601
40,D,601
41,B,87
42,D,601
43,D,601
44,D,601
45,D,601
46,D,601
47,B,33
48,D,601
49,D,601
50,D,601
51,D,601
52,D,601
53,D,601
54,B,93
55,D,601
56,D,601
57,D,601
58,D,601
59,D,601
60,D,601
61,D,601
62,D,601
63,D,601
64,D,601
65,D,601
66,B,57
67,D,601
68,D,601
69,D,601
70,D,601
71,D,601
72,C,564
73,D,601
74,D,601
75,C,348
76,D,601
77,D,601
78,D,601
79,D,601
