,Winner,NTurns
0,C,222
1,B,81
2,B,159
3,B,81
4,B,69
5,B,141
6,B,171
7,C,324
8,C,54
9,C,54
10,D,601
11,B,363
12,C,72
13,D,601
14,B,153
15,B,207
16,B,171
17,B,93
18,B,93
19,C,168
20,B,123
21,C,48
22,C,108
23,D,601
24,B,267
25,B,93
26,B,267
27,C,66
28,D,601
29,B,111
30,B,105
31,B,249
32,B,81
33,C,114
34,D,601
35,C,102
36,B,189
37,B,87
38,B,423
39,C,330
40,C,66
41,B,57
42,D,601
43,B,57
44,D,601
45,C,66
46,D,601
47,B,117
48,B,249
49,C,90
50,B,201
51,B,393
52,B,117
53,C,234
54,B,279
55,B,99
56,B,261
57,C,474
58,D,601
59,B,189
60,C,132
61,D,601
62,B,117
63,C,162
64,C,162
65,C,162
66,C,108
67,B,81
68,D,601
69,D,601
70,B,81
71,B,75
72,D,601
73,D,601
74,B,45
75,B,249
76,B,57
77,D,601
78,B,105
79,D,601
