,Winner,NTurns
0,C,108
1,C,108
2,B,81
3,B,87
4,B,87
5,B,81
6,C,132
7,B,87
8,C,72
9,B,117
10,B,105
11,C,96
12,B,99
13,C,96
14,B,75
15,B,87
16,C,84
17,C,168
18,C,108
19,C,168
20,B,99
21,C,114
22,B,87
23,B,81
24,C,120
25,B,87
26,B,81
27,C,90
28,C,90
29,C,138
30,C,126
31,C,138
32,B,105
33,B,129
34,B,129
35,B,111
36,C,162
37,C,114
38,C,132
39,C,156
40,C,96
41,B,105
42,B,123
43,C,132
44,C,102
45,B,135
46,C,96
47,C,90
48,C,114
49,C,126
50,C,96
51,C,120
52,C,108
53,B,123
54,B,159
55,B,147
56,B,123
57,C,96
58,C,90
59,C,102
60,C,132
61,C,132
62,C,132
63,B,123
64,C,126
65,B,75
66,B,81
67,B,75
68,C,126
69,C,138
70,B,105
71,B,117
72,C,138
73,B,153
74,C,102
75,C,120
76,C,96
77,C,150
78,C,144
79,C,138
