,Winner,NTurns
0,B,75
1,B,69
2,B,87
3,B,81
4,B,75
5,B,105
6,B,135
7,B,69
8,B,69
9,B,63
10,B,81
11,B,93
12,B,105
13,B,69
14,B,75
15,B,69
16,B,81
17,B,105
18,B,75
19,B,81
20,B,75
21,B,69
22,B,81
23,B,93
24,B,63
25,B,87
26,B,69
27,B,81
28,B,69
29,C,84
30,B,69
31,B,75
32,B,69
33,B,57
34,B,63
35,B,99
36,B,81
37,B,69
38,B,69
39,B,75
40,B,75
41,B,81
42,B,63
43,C,84
44,B,63
45,B,63
46,B,93
47,B,69
48,B,81
49,B,99
50,B,123
51,B,87
52,B,81
53,C,96
54,B,75
55,B,75
56,C,84
57,B,81
58,B,87
59,B,81
60,B,75
61,B,81
62,B,87
63,B,75
64,B,69
65,C,120
66,B,81
67,B,75
68,B,69
69,C,84
70,B,81
71,B,81
72,B,81
73,B,87
74,C,114
75,B,87
76,C,138
77,B,87
78,B,69
79,B,117
