,Winner,NTurns
0,B,75
1,B,105
2,B,63
3,B,63
4,B,69
5,B,75
6,B,75
7,C,102
8,B,87
9,B,75
10,B,69
11,B,117
12,B,81
13,B,75
14,B,81
15,B,69
16,B,81
17,B,87
18,B,105
19,B,69
20,B,87
21,B,87
22,B,87
23,B,69
24,B,87
25,B,69
26,B,87
27,B,81
28,B,75
29,C,96
30,C,78
31,B,105
32,B,99
33,B,69
34,B,75
35,B,75
36,B,69
37,B,111
38,B,69
39,B,111
40,B,81
41,B,81
42,B,75
43,B,69
44,B,69
45,C,72
46,C,108
47,B,87
48,B,81
49,C,72
50,B,81
51,B,87
52,B,63
53,B,75
54,B,81
55,B,117
56,B,75
57,C,78
58,B,75
59,B,93
60,B,75
61,B,81
62,C,102
63,C,90
64,B,111
65,B,75
66,B,81
67,B,69
68,B,75
69,B,93
70,B,81
71,B,75
72,B,93
73,B,93
74,B,81
75,B,135
76,B,75
77,B,81
78,B,99
79,B,69
