,Winner,NTurns
0,B,63
1,B,69
2,B,63
3,B,69
4,B,69
5,B,75
6,B,69
7,B,69
8,B,63
9,B,63
10,B,63
11,B,63
12,B,75
13,B,63
14,B,69
15,B,75
16,B,69
17,B,69
18,B,69
19,B,75
20,B,69
21,B,69
22,B,63
23,B,69
24,B,63
25,B,63
26,B,87
27,B,87
28,B,63
29,B,75
30,B,63
31,B,75
32,B,69
33,B,69
34,B,75
35,B,69
36,B,69
37,B,69
38,B,69
39,B,69
40,B,57
41,B,63
42,B,69
43,B,75
44,B,63
45,B,81
46,B,63
47,B,69
48,B,87
49,B,81
50,B,69
51,B,75
52,B,69
53,B,57
54,B,63
55,B,63
56,B,57
57,B,69
58,B,75
59,B,75
60,B,63
61,B,63
62,B,69
63,B,69
64,B,69
65,B,75
66,B,63
67,B,63
68,B,75
69,B,69
70,B,87
71,B,69
72,B,69
73,B,75
74,B,69
75,B,63
76,B,69
77,B,69
78,B,75
79,B,69
