,Winner,NTurns
0,B,75
1,B,69
2,B,63
3,B,69
4,B,75
5,B,75
6,B,81
7,B,75
8,B,69
9,B,69
10,B,69
11,B,63
12,B,75
13,C,72
14,C,60
15,B,75
16,C,66
17,B,63
18,C,66
19,B,57
20,B,75
21,B,75
22,B,75
23,B,81
24,B,81
25,B,63
26,B,75
27,C,60
28,B,69
29,B,63
30,B,63
31,B,75
32,B,81
33,B,63
34,B,75
35,B,69
36,B,81
37,B,75
38,B,75
39,B,69
40,B,81
41,B,75
42,B,63
43,B,75
44,B,75
45,B,69
46,B,63
47,C,66
48,B,75
49,B,75
50,B,69
51,B,75
52,B,69
53,C,78
54,B,69
55,B,75
56,B,81
57,C,78
58,B,99
59,B,75
60,B,63
61,B,81
62,B,75
63,B,75
64,B,75
65,B,69
66,C,90
67,B,69
68,B,81
69,B,69
70,B,81
71,B,75
72,B,57
73,C,60
74,B,75
75,B,81
76,B,93
77,B,69
78,C,78
79,B,75
