,Winner,NTurns
0,C,96
1,B,69
2,C,72
3,C,84
4,C,78
5,C,84
6,C,78
7,B,63
8,B,63
9,C,84
10,C,78
11,B,57
12,C,108
13,C,96
14,C,84
15,C,84
16,C,78
17,B,57
18,C,78
19,C,120
20,C,78
21,C,114
22,B,75
23,C,114
24,B,81
25,C,78
26,C,114
27,B,63
28,C,126
29,C,78
30,C,78
31,C,90
32,C,96
33,C,78
34,C,78
35,C,78
36,C,84
37,C,90
38,B,87
39,B,63
40,C,72
41,B,105
42,B,69
43,C,126
44,C,150
45,B,123
46,C,90
47,B,93
48,B,69
49,C,78
50,C,84
51,C,66
52,C,78
53,C,78
54,C,78
55,C,132
56,C,108
57,C,90
58,C,150
59,C,78
60,B,99
61,C,78
62,B,135
63,C,78
64,C,72
65,C,144
66,B,99
67,C,78
68,C,108
69,B,99
70,C,96
71,C,84
72,C,96
73,C,72
74,C,78
75,B,105
76,B,69
77,C,84
78,C,72
79,C,78
