,Winner,NTurns
0,C,60
1,B,45
2,B,51
3,B,63
4,B,57
5,B,69
6,B,51
7,B,57
8,C,66
9,B,51
10,B,57
11,B,63
12,B,63
13,B,51
14,B,81
15,C,72
16,B,51
17,C,48
18,B,51
19,C,60
20,C,60
21,B,87
22,B,45
23,C,54
24,B,69
25,B,63
26,B,51
27,B,51
28,B,51
29,B,51
30,C,60
31,B,51
32,B,45
33,C,96
34,B,81
35,B,57
36,B,57
37,B,57
38,B,75
39,C,66
40,B,57
41,B,57
42,B,51
43,B,81
44,B,69
45,B,51
46,B,57
47,C,54
48,B,63
49,C,48
50,C,60
51,B,75
52,B,57
53,B,45
54,B,93
55,B,63
56,B,45
57,B,57
58,B,51
59,C,66
60,C,72
61,B,45
62,C,66
63,B,57
64,B,63
65,B,45
66,B,45
67,C,54
68,C,78
69,B,51
70,C,60
71,B,51
72,C,78
73,B,75
74,B,57
75,C,60
76,C,54
77,C,60
78,B,57
79,C,66
